ID_Aluno;Nome_Completo;Data_Nascimento;Idade;Sexo;CPF;Telefone;Endereço;Bairro;Cidade;UF;Email;ID_Turma;Nome_Mãe;Nome_Pai;Data_Matrícula;Data_Rescisão
103;Ana Luiza da Rocha;2012-04-05;12;F;06980420495;(11) 94288-5444;Rua Condomínio Jade Almeida;São Mateus;São Paulo;SP;ada rocha@outlook.com;633;Laís da Rocha;Miguel da Rocha;2012-04-06;
104;Bruna Siqueira;2019-01-01;5;F;15798123870;(11) 98503-1352;Rua Quadra de Sales;Itaquera;São Paulo;SP;brunasiqueira@hotmail.com;627;Raquel Siqueira;Josué Siqueira;2019-01-02;
105;Yuri Campos;2018-06-12;6;M;40460843278;(11) 96599-7436;Avenida Feira Lopes;Brás;São Paulo;SP;yuricampos@uol.com.br;614;Rebeca Campos;Brayan Campos;2018-06-13;
106;Fernanda Mendes;2014-06-23;10;F;57823298302;(11) 93262-6062;Avenida Lagoa Camila Câmara;Penha;São Paulo;SP;fernandamendes@gmail.com;625;Allana Mendes;;2014-06-24;
107;Maria Helena Aragão;2011-05-28;13;F;05664742320;(11) 92749-3155;Avenida Vereda de Camargo;Belém;São Paulo;SP;maria helenaaragão@bol.com.br;636;Juliana Aragão;Yago Aragão;2011-05-29;
108;Henrique Campos;2013-10-10;11;M;89752677265;(11) 93683-4166;Avenida Morro Juan da Costa;Belém;São Paulo;SP;henrique948@hotmail.com;628;Ágatha Campos;Gael Henrique Campos;2013-10-11;
109;Luiz Miguel da Costa;2008-08-22;16;M;97573660923;(11) 97232-6126;Alameda Trevo Cassiano;Vila Formosa;São Paulo;SP;luiz miguel.da costa@ig.com.br;643;Maria Helena da Costa;João Lucas da Costa;2008-08-23;
110;Rafael Mendonça;2016-07-13;8;M;08680347693;(11) 95989-5684;Alameda Vereda Monteiro;Carrão;São Paulo;SP;rafaelmendonça@hotmail.com;619;Daniela Mendonça;Ian Mendonça;2016-07-14;
111;Ana Sophia Silva;2012-12-22;12;F;82665702794;(11) 94308-8449;Rua Praia de Rodrigues;Jardim Anália Franco;São Paulo;SP;ana sophiasilva@ig.com.br;631;Zoe Silva;Benjamin Silva;2012-12-23;
112;Arthur Correia;2018-07-01;6;M;68926860231;(11) 96491-3459;Avenida Vale de Duarte;Carrão;São Paulo;SP;acorreia@ig.com.br;615;Anna Liz Correia;Josué Correia;2018-07-02;
113;Maria Luísa Nunes;2017-10-11;7;F;30940777800;(11) 91094-9084;Avenida Praia Azevedo;Itaquera;São Paulo;SP;maria luísa465@uol.com.br;617;Julia Nunes;Apollo Nunes;2017-10-12;
114;Arthur Gabriel Castro;2013-01-13;11;M;83022050239;(11) 91531-5889;Travessa Trecho Daniel Fogaça;Brás;São Paulo;SP;acastro@uol.com.br;628;Ana Luiza Castro;Benício Castro;2013-01-14;
115;Luiz Otávio Leão;2013-06-30;11;M;55616814738;(11) 93204-2999;Travessa Area Danilo Freitas;Mooca;São Paulo;SP;luiz otávioleão@uol.com.br;630;Eduarda Leão;Augusto Leão;2013-07-01;
116;Henrique Mendes;2017-05-22;7;M;79469548905;(11) 96797-3125;Alameda Vale Peixoto;Tatuapé;São Paulo;SP;henriquemendes@ig.com.br;618;Bárbara Mendes;;2017-05-23;
117;Josué Mendonça;2013-06-29;11;M;39660558314;(11) 91185-4296;Travessa Area de Machado;Jardim Anália Franco;São Paulo;SP;jmendonça@hotmail.com;;Daniela Mendonça;Thiago Mendonça;2013-06-30;2019-11-15
118;Igor Campos;2018-04-26;6;M;23557702704;(11) 93545-8546;Travessa Largo Pereira;São Mateus;São Paulo;SP;igor.campos@terra.com.br;614;Olívia Campos;Joaquim Campos;2018-04-27;
119;Alícia Aparecida;2013-02-11;11;F;55124056885;(11) 93719-7382;Avenida Praia Caldeira;Vila Formosa;São Paulo;SP;aaparecida@terra.com.br;630;Isadora Aparecida;Luan Aparecida;2013-02-12;
120;Calebe Sampaio;2017-02-20;7;M;38421503133;(11) 98270-9290;Rua Chácara de Montenegro;São Mateus;São Paulo;SP;csampaio@gmail.com;616;Fernanda Sampaio;Augusto Sampaio;2017-02-21;
121;Laís Nunes;2015-02-28;9;F;30768104063;(11) 92426-6460;Alameda Praia de Macedo;Belém;São Paulo;SP;lnunes@terra.com.br;622;Milena Nunes;Apollo Nunes;2015-03-01;
122;Luan Pacheco;2013-09-11;11;M;44857142260;(11) 95483-2875;Rua Núcleo Alexia Gomes;Vila Formosa;São Paulo;SP;lpacheco@outlook.com;629;Sofia Pacheco;Emanuel Pacheco;2013-09-12;
123;Ágatha Carvalho;2012-04-24;12;F;49587020765;(11) 91826-2735;Alameda Avenida de Vieira;Belém;São Paulo;SP;ágatha184@ig.com.br;633;Heloísa Carvalho;Otávio Carvalho;2012-04-25;
124;Allana Cavalcante;2014-12-24;10;F;79217174701;(11) 98709-4796;Avenida Colônia Helena da Paz;Carrão;São Paulo;SP;allana935@hotmail.com;625;Lara Cavalcante;Arthur Gabriel Cavalcante;2014-12-25;
125;Davi Miguel da Costa;2010-06-07;14;M;17157724534;(11) 93087-9322;Rua Distrito de Farias;Penha;São Paulo;SP;davi miguel.da costa@terra.com.br;638;Maria Cecília da Costa;Joaquim da Costa;2010-06-08;
